SessionId,Phrase,Score
0,1969,0.10796454768371383
0,1969 millions,0.10796454768371383
0,1969 millions people,0.10796454768371383
0,20,0.10796454768371383
0,20 1969,0.10796454768371383
0,20 1969 millions,0.10796454768371383
0,40,0.10796454768371383
0,40 years,0.10796454768371383
0,40 years later,0.10796454768371383
0,change,0.05671777427678858
0,change way,0.10796454768371383
0,change way think,0.10796454768371383
0,did,0.16897096866514258
0,did like,0.10796454768371383
0,did like witness,0.10796454768371383
0,did moon,0.10796454768371383
0,did moon did,0.10796454768371383
0,does,0.07833726837526382
0,does writing,0.10796454768371383
0,does writing software,0.10796454768371383
0,experiences,0.09315090802948883
0,experiences men,0.10796454768371383
0,experiences men landed,0.10796454768371383
0,july,0.10796454768371383
0,july 20,0.10796454768371383
0,july 20 1969,0.10796454768371383
0,landed,0.10796454768371383
0,landed moon,0.10796454768371383
0,landed moon did,0.10796454768371383
0,later,0.09929912398679629
0,like,0.06967184467834629
0,like witness,0.10796454768371383
0,like witness does,0.10796454768371383
0,lives,0.09315090802948883
0,lives july,0.10796454768371383
0,lives july 20,0.10796454768371383
0,look,0.07582006063565375
0,look world,0.10796454768371383
0,look world things,0.10796454768371383
0,men,0.10796454768371383
0,men landed,0.10796454768371383
0,men landed moon,0.10796454768371383
0,millions,0.09929912398679629
0,millions people,0.10796454768371383
0,millions people transforming,0.10796454768371383
0,moments,0.10796454768371383
0,moments change,0.10796454768371383
0,moments change way,0.10796454768371383
0,moon,0.21592909536742766
0,moon did,0.21592909536742766
0,moon did like,0.10796454768371383
0,moon did moon,0.10796454768371383
0,people,0.053985775136573745
0,people transforming,0.10796454768371383
0,people transforming experiences,0.10796454768371383
0,software,0.06352362872103882
0,software 40,0.10796454768371383
0,software 40 years,0.10796454768371383
0,things,0.06967184467834629
0,things want,0.10796454768371383
0,things want lives,0.10796454768371383
0,think,0.0883819812372563
0,think way,0.10796454768371383
0,think way look,0.10796454768371383
0,transforming,0.10796454768371383
0,transforming experiences,0.10796454768371383
0,transforming experiences men,0.10796454768371383
0,want,0.08448548433257129
0,want lives,0.10796454768371383
0,want lives july,0.10796454768371383
0,way,0.10162761485809119
0,way look,0.10796454768371383
0,way look world,0.10796454768371383
0,way think,0.09929912398679629
0,way think way,0.10796454768371383
0,witness,0.10796454768371383
0,witness does,0.10796454768371383
0,witness does writing,0.10796454768371383
0,world,0.06967184467834629
0,world things,0.10796454768371383
0,world things want,0.10796454768371383
0,writing,0.08119104314106257
0,writing software,0.10796454768371383
0,writing software 40,0.10796454768371383
0,years,0.07153141393101359
0,years later,0.10796454768371383
1,allows,0.10040859470520058
1,allows micro,0.10917083732124147
1,allows micro services,0.10917083732124147
1,approached,0.10917083732124147
1,approached caution,0.10917083732124147
1,approached caution using,0.10917083732124147
1,architecture,0.22317096556037808
1,architecture companion,0.10917083732124147
1,architecture companion data,0.10917083732124147
1,architecture coupled,0.10917083732124147
1,architecture coupled continuous,0.10917083732124147
1,architecture evolve,0.10917083732124147
1,architecture evolve talk,0.10917083732124147
1,caution,0.10917083732124147
1,caution using,0.10917083732124147
1,caution using techniques,0.10917083732124147
1,companion,0.10917083732124147
1,companion data,0.10917083732124147
1,companion data architecture,0.10917083732124147
1,complex,0.09419168463155866
1,complex systems,0.10917083732124147
1,concepts,0.10917083732124147
1,concepts focusing,0.10917083732124147
1,concepts focusing support,0.10917083732124147
1,continuous,0.08209819197929084
1,continuous delivery,0.08936947454314216
1,continuous delivery allows,0.10917083732124147
1,coupled,0.10040859470520058
1,coupled continuous,0.10917083732124147
1,coupled continuous delivery,0.10917083732124147
1,creation,0.10040859470520058
1,creation complex,0.10917083732124147
1,creation complex systems,0.10917083732124147
1,data,0.061688046709794095
1,data architecture,0.10917083732124147
1,data architecture evolve,0.10917083732124147
1,delivery,0.08209819197929084
1,delivery allows,0.10917083732124147
1,delivery allows micro,0.10917083732124147
1,evolutionary,0.10917083732124147
1,evolutionary architecture,0.10917083732124147
1,evolutionary architecture coupled,0.10917083732124147
1,evolve,0.10040859470520058
1,evolve talk,0.10917083732124147
1,evolve talk explores,0.10917083732124147
1,explores,0.10917083732124147
1,explores relationship,0.10917083732124147
1,explores relationship concepts,0.10917083732124147
1,focusing,0.10917083732124147
1,focusing support,0.10917083732124147
1,focusing support creation,0.10917083732124147
1,micro,0.17085888403103555
1,micro services,0.20081718941040116
1,micro services architecture,0.10917083732124147
1,micro services rage,0.10917083732124147
1,need,0.07045028932583497
1,need approached,0.10917083732124147
1,need approached caution,0.10917083732124147
1,rage,0.10917083732124147
1,rage need,0.10917083732124147
1,rage need approached,0.10917083732124147
1,relationship,0.10040859470520058
1,relationship concepts,0.10917083732124147
1,relationship concepts focusing,0.10917083732124147
1,services,0.14878064370691874
1,services architecture,0.10917083732124147
1,services architecture companion,0.10917083732124147
1,services rage,0.10917083732124147
1,services rage need,0.10917083732124147
1,support,0.08936947454314216
1,support creation,0.10917083732124147
1,support creation complex,0.10917083732124147
1,systems,0.07045028932583497
1,talk,0.06292325999843074
1,talk explores,0.10917083732124147
1,talk explores relationship,0.10917083732124147
1,techniques,0.09419168463155866
1,techniques evolutionary,0.10917083732124147
1,techniques evolutionary architecture,0.10917083732124147
1,using,0.06562807923741848
1,using techniques,0.10917083732124147
1,using techniques evolutionary,0.10917083732124147
2,analytics,0.08159336872699961
2,analytics data,0.08159336872699961
2,analytics data people,0.08159336872699961
2,attempted,0.08159336872699961
2,attempted overcome,0.08159336872699961
2,cassandra,0.32637347490799845
2,cassandra exact,0.08159336872699961
